county,A08,A18,Sex,Age,A20,B3A__1,B3A__2,B3A__3,B3A__4,B3A__5,B3A__6,B3A__7,B3A__8,B3A__9,B3A__10,B3A__11,B3A__98,B3A__99,S1,S2__1,S6,S7_5,indWeight,Education,mobile_money_access,formal_access_fnl,Access_fnl,Overall_Access_fnl,mobile_money_access_primary,financially_excluded,age_years,age_group_youth,employment_category,internet_access,owns_private_mobile,digital_access_score
Kwale,Rural,30,Female,26-35,"""Some primary """,1,0,0,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Weak/poor,I have no idea/I dont know,3738.212890625,Primary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,30,26-30,farming,no,yes,1
Turkana,Rural,18,Male,18-25,"""Some primary """,0,0,0,0,0,0,0,0,1,0,0,0,0,I donâ€™t own or use a mobile phone/Sina wala situmii simu ya mkononi,,Don't Know,I have no idea/I dont know,4810.1650390625,Primary,No,No,Excluded,excluded,No,1,18,18-25,family_remittance,no,no,0
Bungoma,Rural,34,Female,26-35,Some technical training after secondary school,0,0,0,1,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Weak/poor,I can manage with ease,1350.7381591796875,Secondary,Yes,Yes,Formal Prudential,formal only,Yes,0,34,31-35,self_employment,yes,yes,3
Vihiga,Rural,20,Male,18-25,"""Some secondary""",0,0,1,0,0,0,0,0,0,0,0,0,0,I donâ€™t own a mobile phone but am able to use someone elseâ€™s phone regularly,0.0,Strong,I have no idea/I dont know,4620.55126953125,Secondary,No,No,Excluded,excluded,No,1,20,18-25,casual_work,no,no,0
Narok,Rural,30,Female,26-35,"""None """,1,0,1,0,0,0,0,0,0,0,0,0,0,I donâ€™t own or use a mobile phone/Sina wala situmii simu ya mkononi,,Strong,I have no idea/I dont know,1539.932861328125,,No,No,Informal,informal only,No,0,30,26-30,casual_work,no,no,0
Elgeyo-Marakwet,Rural,27,Female,26-35,Completed technical training after secondary school,1,0,0,1,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Okay/Fair/Average,I can manage with ease,242.0714569091797,Tertiary,Yes,Yes,Formal Prudential,formal only,Yes,0,27,26-30,self_employment,yes,yes,3
Meru,Rural,21,Female,18-25,"""Secondary completed """,0,0,1,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Weak/poor,I have no idea/I dont know,4499.5546875,Secondary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,21,18-25,casual_work,no,yes,1
Bomet,Rural,23,Female,18-25,"""Secondary completed """,0,0,0,1,0,0,0,0,1,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Strong,I can manage,2448.5556640625,Secondary,Yes,Yes,Formal Prudential,formal only,Yes,0,23,18-25,self_employment,yes,yes,3
Kwale,Rural,19,Female,18-25,"""Secondary completed """,0,0,0,0,0,0,0,0,1,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Strong,I can manage,979.4165649414062,Secondary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,19,18-25,family_remittance,no,yes,2
Baringo,Rural,25,Female,18-25,"""Secondary completed """,0,1,0,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Okay/Fair/Average,I can manage with difficulties,831.1466674804688,Secondary,Yes,Yes,Formal Prudential,formal only,Yes,0,25,18-25,regular_employment,yes,yes,3
Taita-Taveta,Rural,29,Female,26-35,"""Secondary completed """,0,0,0,0,0,0,0,0,1,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Okay/Fair/Average,I have no idea/I dont know,351.2471008300781,Secondary,Yes,Yes,Formal Prudential,formal only,Yes,0,29,26-30,family_remittance,yes,yes,2
Kirinyaga,Rural,25,Female,18-25,"""Primary completed""",0,0,1,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Strong,I can manage with difficulties,1346.332275390625,Primary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,25,18-25,casual_work,no,yes,2
Kisii,Rural,28,Female,26-35,"""Some primary """,0,0,1,0,0,0,0,0,1,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Strong,I have no idea/I dont know,660.342041015625,Primary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,28,26-30,casual_work,no,yes,1
Trans Nzoia,Rural,30,Female,26-35,"""Secondary completed """,0,0,1,0,0,0,0,0,0,0,0,0,0,I donâ€™t own a mobile phone but am able to use someone elseâ€™s phone regularly,0.0,Strong,I have no idea/I dont know,1244.36865234375,Secondary,No,No,Excluded,excluded,No,1,30,26-30,casual_work,no,no,0
Narok,Rural,18,Male,18-25,"""Primary completed""",0,0,1,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Strong,I have no idea/I dont know,2218.348876953125,Primary,Yes,No,Excluded,excluded,No,1,18,18-25,casual_work,yes,yes,2
Embu,Rural,21,Male,18-25,"""Secondary completed """,1,1,1,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Okay/Fair/Average,I can manage,1594.40966796875,Secondary,Yes,Yes,Formal Prudential,formal only,Yes,0,21,18-25,regular_employment,yes,yes,3
Kakamega,Rural,29,Male,26-35,Completed technical training after secondary school,1,1,0,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Strong,I can manage with ease,2603.092041015625,Tertiary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,29,26-30,regular_employment,yes,yes,3
Baringo,Rural,24,Male,18-25,"""Secondary completed """,0,0,1,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Okay/Fair/Average,I can manage,1973.2078857421875,Secondary,Yes,Yes,Formal Prudential,formal only,Yes,0,24,18-25,casual_work,yes,yes,3
Murang'a,Rural,26,Female,26-35,Some technical training after secondary school,0,0,0,0,0,0,0,0,1,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Weak/poor,I can manage,1333.2119140625,Secondary,Yes,Yes,Formal Prudential,formal only,Yes,0,26,26-30,family_remittance,yes,yes,3
Busia,Rural,23,Female,18-25,Completed technical training after secondary school,0,0,0,0,0,0,0,0,0,0,1,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Weak/poor,I can manage,2397.87060546875,Tertiary,Yes,Yes,Formal Prudential,formal only,Yes,0,23,18-25,other_or_no_income_source,yes,yes,3
Kisii,Rural,35,Female,26-35,"""Some secondary""",0,0,1,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Weak/poor,I can manage,610.4253540039062,Secondary,Yes,Yes,Formal Prudential,formal only,Yes,0,35,31-35,casual_work,yes,yes,3
West Pokot,Rural,18,Female,18-25,"""Some secondary""",0,0,0,0,0,0,0,0,1,0,0,0,0,I donâ€™t own or use a mobile phone/Sina wala situmii simu ya mkononi,,,I can manage with difficulties,694.2175903320312,Secondary,No,No,Informal,informal only,No,0,18,18-25,family_remittance,no,no,1
Nyandarua,Rural,32,Female,26-35,"""Secondary completed """,0,0,1,0,0,0,0,0,1,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Okay/Fair/Average,I have no idea/I dont know,2827.62060546875,Secondary,Yes,Yes,Formal Prudential,formal only,Yes,0,32,31-35,casual_work,yes,yes,2
Bomet,Rural,23,Female,18-25,Some technical training after secondary school,0,0,1,0,1,0,0,0,1,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Strong,I can manage,1921.1055908203125,Secondary,Yes,Yes,Formal Prudential,formal only,Yes,0,23,18-25,casual_work,yes,yes,3
Kitui,Rural,29,Female,26-35,"""University completed """,0,1,0,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Strong,I can manage with ease,2562.69921875,Tertiary,Yes,Yes,Formal Prudential,formal only,Yes,0,29,26-30,regular_employment,yes,yes,3
Lamu,Rural,32,Female,26-35,"""Primary completed""",0,0,0,0,0,0,0,0,1,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Okay/Fair/Average,I can manage,113.67552947998047,Primary,Yes,Yes,Formal Prudential,formal only,Yes,0,32,31-35,family_remittance,yes,yes,3
Migori,Rural,35,Female,26-35,"""Some primary """,0,0,0,1,0,0,0,0,0,0,0,0,0,I donâ€™t own a mobile phone but am able to use someone elseâ€™s phone regularly,0.0,Okay/Fair/Average,I can manage,758.17431640625,Primary,Yes,No,Excluded,excluded,No,1,35,31-35,self_employment,no,no,1
Nyamira,Rural,34,Male,26-35,"""Some primary """,0,0,0,0,0,0,0,0,1,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Strong,I have no idea/I dont know,2718.1396484375,Primary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,34,31-35,family_remittance,no,yes,1
