county,A08,A18,Sex,Age,A20,B3A__1,B3A__2,B3A__3,B3A__4,B3A__5,B3A__6,B3A__7,B3A__8,B3A__9,B3A__10,B3A__11,B3A__98,B3A__99,S1,S2__1,S6,S7_5,indWeight,Education,mobile_money_access,formal_access_fnl,Access_fnl,Overall_Access_fnl,mobile_money_access_primary,financially_excluded,age_years,age_group_youth,employment_category,internet_access,owns_private_mobile,digital_access_score
West Pokot,Rural,18,Female,18-25,"""Secondary completed """,0,0,1,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Weak/poor,I have no idea/I dont know,1053.35986328125,Secondary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,18,18-25,casual_work,no,yes,1
Homabay,Rural,35,Female,26-35,"""Some primary """,0,0,1,0,0,0,0,0,0,0,0,0,0,I donâ€™t own a mobile phone but am able to use someone elseâ€™s phone regularly,0.0,Strong,I have no idea/I dont know,1077.421142578125,Primary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,35,31-35,casual_work,no,no,0
Meru,Rural,30,Male,26-35,"""Some primary """,1,0,1,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Strong,I have no idea/I dont know,632.0802001953125,Primary,Yes,Yes,Formal Prudential,formal only,Yes,0,30,26-30,casual_work,yes,yes,2
Kitui,Rural,22,Male,18-25,"""Some primary """,0,1,0,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Okay/Fair/Average,I have no idea/I dont know,553.5169677734375,Primary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,22,18-25,regular_employment,no,yes,1
Kakamega,Rural,34,Female,26-35,"""Some secondary""",1,0,0,0,0,0,0,0,1,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Strong,I have no idea/I dont know,2149.287353515625,Secondary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,34,31-35,farming,no,yes,1
Nyandarua,Rural,21,Female,18-25,"""Secondary completed """,0,0,0,0,0,0,0,0,1,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Strong,I have no idea/I dont know,1369.80224609375,Secondary,Yes,No,Informal,informal only,No,0,21,18-25,family_remittance,yes,yes,2
Meru,Rural,20,Male,18-25,"""Secondary completed """,1,0,0,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Strong,I can manage with ease,1992.299072265625,Secondary,Yes,Yes,Formal Prudential,formal only,Yes,0,20,18-25,farming,yes,yes,3
Turkana,Rural,20,Male,18-25,"""None """,1,0,0,1,0,0,0,0,0,0,0,0,0,I donâ€™t own or use a mobile phone/Sina wala situmii simu ya mkononi,,Okay/Fair/Average,I have no idea/I dont know,3278.7109375,,No,No,Excluded,excluded,No,1,20,18-25,self_employment,no,no,0
Kisumu,Rural,30,Female,26-35,"""Some secondary""",1,0,0,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Don't Know,I have no idea/I dont know,713.1200561523438,Secondary,Yes,Yes,Formal Prudential,formal only,Yes,0,30,26-30,farming,no,yes,1
Bungoma,Rural,23,Female,18-25,"""Some primary """,0,0,1,0,0,0,0,0,0,0,0,0,0,I donâ€™t own a mobile phone but am able to use someone elseâ€™s phone regularly,0.0,Strong,I can manage,5937.9775390625,Primary,Yes,No,Informal,informal only,No,0,23,18-25,casual_work,no,no,1
Kericho,Rural,32,Female,26-35,"""Secondary completed """,1,0,0,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,,I have no idea/I dont know,798.92529296875,Secondary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,32,31-35,farming,no,yes,1
Nyamira,Rural,32,Female,26-35,"""Some primary """,0,0,0,1,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Okay/Fair/Average,I have no idea/I dont know,1340.3302001953125,Primary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,32,31-35,self_employment,no,yes,1
Meru,Rural,23,Female,18-25,"""Primary completed""",0,0,1,0,0,0,0,0,0,0,0,0,0,I own a mobile phone that both me and others use/Nina simu ya mkononi ambayo mim,1.0,Strong,I have no idea/I dont know,2297.402587890625,Primary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,23,18-25,casual_work,yes,no,1
Kilifi,Rural,27,Male,26-35,"""Primary completed""",0,0,1,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Strong,I have no idea/I dont know,1302.4327392578125,Primary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,27,26-30,casual_work,yes,yes,2
Mandera,Rural,35,Female,26-35,"""None """,0,0,0,0,0,0,0,0,0,1,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Strong,I have no idea/I dont know,464.1593322753906,,Yes,Yes,Formal Prudential,formal only,Yes,0,35,31-35,other_or_no_income_source,yes,yes,2
Kisumu,Rural,31,Female,26-35,"""Primary completed""",0,0,0,0,0,0,0,0,1,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Strong,I can manage with ease,639.2407836914062,Primary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,31,31-35,family_remittance,yes,yes,3
Murang'a,Rural,34,Male,26-35,"""Secondary completed """,1,0,1,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Okay/Fair/Average,I can manage,5075.6298828125,Secondary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,34,31-35,casual_work,no,yes,2
Narok,Rural,23,Male,18-25,"""Secondary completed """,0,0,1,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Strong,I can manage,1855.39501953125,Secondary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,23,18-25,casual_work,yes,yes,3
Kericho,Rural,24,Male,18-25,Some technical training after secondary school,0,0,0,0,0,0,0,0,1,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Okay/Fair/Average,I can manage,1343.8145751953125,Secondary,Yes,Yes,Formal Prudential,formal only,Yes,0,24,18-25,family_remittance,yes,yes,3
Turkana,Rural,30,Female,26-35,"""None """,0,0,0,1,0,0,0,0,0,0,0,0,0,I donâ€™t own a mobile phone but am able to use someone elseâ€™s phone regularly,0.0,Okay/Fair/Average,I have no idea/I dont know,932.8121948242188,,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,30,26-30,self_employment,no,no,0
Bungoma,Rural,26,Female,26-35,"""Secondary completed """,0,0,0,0,0,0,0,0,1,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Okay/Fair/Average,I can manage,1251.0037841796875,Secondary,Yes,Yes,Formal Prudential,formal only,Yes,0,26,26-30,family_remittance,yes,yes,3
Lamu,Rural,18,Male,18-25,"""Primary completed""",0,0,1,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Weak/poor,I can manage,3472.031005859375,Primary,Yes,Yes,Formal Registered,formal only,No,0,18,18-25,casual_work,yes,yes,3
Nandi,Rural,24,Female,18-25,"""Secondary completed """,1,0,0,0,0,0,0,0,1,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Okay/Fair/Average,I can manage with ease,1510.0155029296875,Secondary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,24,18-25,farming,yes,yes,3
Narok,Rural,30,Male,26-35,"""Secondary completed """,0,0,1,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Okay/Fair/Average,I can manage with difficulties,1734.2314453125,Secondary,Yes,Yes,Formal Prudential,formal only,Yes,0,30,26-30,casual_work,yes,yes,3
Mandera,Rural,25,Male,18-25,Some university,0,1,0,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Strong,I can manage with ease,1418.18994140625,Tertiary,Yes,Yes,Formal Prudential,formal only,Yes,0,25,18-25,regular_employment,yes,yes,3
Embu,Rural,21,Male,18-25,"""Some secondary""",0,1,0,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Okay/Fair/Average,I can manage,2866.592529296875,Secondary,Yes,No,Excluded,excluded,No,1,21,18-25,regular_employment,yes,yes,3
Uasin Gishu,Rural,18,Male,18-25,"""Some secondary""",0,0,0,0,0,0,0,0,1,0,0,0,0,I donâ€™t own or use a mobile phone/Sina wala situmii simu ya mkononi,,Don't Know,I have no idea/I dont know,1744.126708984375,Secondary,No,No,Excluded,excluded,No,1,18,18-25,family_remittance,no,no,0
Laikipia,Rural,28,Male,26-35,"""Primary completed""",1,0,0,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Weak/poor,I have no idea/I dont know,700.893310546875,Primary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,28,26-30,farming,no,yes,1
Tana River,Rural,20,Female,18-25,"""Primary completed""",0,0,1,0,0,0,0,0,0,0,0,0,0,I donâ€™t own or use a mobile phone/Sina wala situmii simu ya mkononi,,Weak/poor,I have no idea/I dont know,354.8556823730469,Primary,No,No,Excluded,excluded,No,1,20,18-25,casual_work,no,no,0
Bomet,Rural,27,Female,26-35,Completed technical training after secondary school,0,1,0,1,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Strong,I can manage,1955.2783203125,Tertiary,Yes,Yes,Formal Prudential,formal only,Yes,0,27,26-30,regular_employment,yes,yes,3
Homabay,Rural,22,Male,18-25,"""Primary completed""",0,0,1,0,0,0,0,0,0,0,0,0,0,I donâ€™t own a mobile phone but am able to use someone elseâ€™s phone regularly,0.0,Okay/Fair/Average,I have no idea/I dont know,3279.083251953125,Primary,Yes,No,Excluded,excluded,No,1,22,18-25,casual_work,no,no,0
Migori,Rural,33,Male,26-35,"""Primary completed""",0,0,1,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Okay/Fair/Average,I have no idea/I dont know,2140.347412109375,Primary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,33,31-35,casual_work,no,yes,1
Bomet,Rural,25,Male,18-25,"""Primary completed""",1,0,1,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Okay/Fair/Average,I can manage with difficulties,723.3638305664062,Primary,Yes,Yes,Formal Prudential,formal only,Yes,0,25,18-25,casual_work,yes,yes,3
Nyamira,Rural,19,Male,18-25,"""Secondary completed """,0,0,0,0,0,0,0,0,1,0,0,0,0,I donâ€™t own or use a mobile phone/Sina wala situmii simu ya mkononi,,Okay/Fair/Average,I have no idea/I dont know,1157.47998046875,Secondary,Yes,No,Excluded,excluded,No,1,19,18-25,family_remittance,no,no,0
Kericho,Rural,18,Female,18-25,"""Some secondary""",0,0,0,0,0,0,0,0,0,0,1,0,0,I donâ€™t own or use a mobile phone/Sina wala situmii simu ya mkononi,,Don't Know,I have no idea/I dont know,2329.84375,Secondary,No,No,Informal,informal only,No,0,18,18-25,other_or_no_income_source,no,no,0
Wajir,Rural,23,Male,18-25,"""Secondary completed """,0,0,0,0,0,0,0,0,1,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Okay/Fair/Average,I can manage,2298.897705078125,Secondary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,23,18-25,family_remittance,yes,yes,3
Garissa,Rural,32,Male,26-35,"""None """,0,0,1,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,,I have no idea/I dont know,1996.513427734375,,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,32,31-35,casual_work,no,yes,1
Mandera,Rural,32,Female,26-35,"""None """,0,0,0,0,0,0,0,0,0,0,0,1,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Strong,I have no idea/I dont know,168.64759826660156,,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,32,31-35,other_or_no_income_source,no,yes,1
Tharaka-Nithi,Rural,31,Female,26-35,"""Some primary """,0,0,0,1,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Okay/Fair/Average,I have no idea/I dont know,506.0633850097656,Primary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,31,31-35,self_employment,no,yes,1
Nandi,Rural,35,Female,26-35,Completed technical training after secondary school,1,0,0,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Okay/Fair/Average,I can manage,923.3928833007812,Tertiary,Yes,Yes,Formal Prudential,formal only,Yes,0,35,31-35,farming,no,yes,2
Kilifi,Rural,29,Male,26-35,Completed technical training after secondary school,0,1,0,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Okay/Fair/Average,I can manage with ease,2415.024658203125,Tertiary,Yes,Yes,Formal Prudential,formal only,Yes,0,29,26-30,regular_employment,yes,yes,3
Kajiado,Rural,25,Male,18-25,"""Some primary """,1,0,1,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Okay/Fair/Average,I can manage with difficulties,1292.8348388671875,Primary,Yes,No,Informal,informal only,No,0,25,18-25,casual_work,no,yes,2
Kericho,Rural,32,Male,26-35,"""Some primary """,1,0,0,1,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Weak/poor,I can manage,1792.28857421875,Primary,Yes,Yes,Formal Prudential,formal only,Yes,0,32,31-35,self_employment,yes,yes,3
Garissa,Rural,25,Female,18-25,"""Some primary """,0,0,0,1,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Strong,I have no idea/I dont know,410.7228088378906,Primary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,25,18-25,self_employment,yes,yes,2
Kirinyaga,Rural,23,Female,18-25,"""Primary completed""",0,0,1,0,0,0,0,0,0,0,0,0,0,I donâ€™t own or use a mobile phone/Sina wala situmii simu ya mkononi,,Don't Know,I can manage with difficulties,1042.8187255859375,Primary,No,No,Excluded,excluded,No,1,23,18-25,casual_work,no,no,1
Nandi,Rural,31,Male,26-35,Completed technical training after secondary school,1,0,0,1,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Weak/poor,I can manage with ease,1893.902099609375,Tertiary,Yes,Yes,Formal Prudential,formal only,Yes,0,31,31-35,self_employment,yes,yes,3
Wajir,Rural,30,Male,26-35,"""Secondary completed """,0,0,0,0,0,0,0,0,0,1,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Strong,I can manage with ease,2915.8271484375,Secondary,Yes,Yes,Formal Prudential,formal only,Yes,0,30,26-30,other_or_no_income_source,yes,yes,3
Uasin Gishu,Rural,33,Female,26-35,"""Secondary completed """,1,0,0,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Okay/Fair/Average,I can manage with ease,1256.7677001953125,Secondary,Yes,Yes,Formal Prudential,formal only,Yes,0,33,31-35,farming,yes,yes,3
Nyamira,Rural,27,Male,26-35,"""Secondary completed """,0,1,0,0,0,0,0,0,0,0,0,0,0,I donâ€™t own or use a mobile phone/Sina wala situmii simu ya mkononi,,Okay/Fair/Average,I can manage,1336.09375,Secondary,No,No,Excluded,excluded,No,1,27,26-30,regular_employment,no,no,1
Homabay,Rural,35,Female,26-35,"""Some primary """,0,0,0,1,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Okay/Fair/Average,I can manage,253.59170532226562,Primary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,35,31-35,self_employment,no,yes,2
Kirinyaga,Rural,32,Female,26-35,"""Some primary """,0,0,1,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Okay/Fair/Average,I have no idea/I dont know,1233.91015625,Primary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,32,31-35,casual_work,no,yes,1
Elgeyo-Marakwet,Rural,28,Male,26-35,"""Primary completed""",1,0,0,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Weak/poor,I have no idea/I dont know,1503.3310546875,Primary,Yes,Yes,Formal Prudential,formal only,Yes,0,28,26-30,farming,no,yes,1
Nyamira,Rural,26,Female,26-35,"""Some primary """,0,0,1,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Strong,I have no idea/I dont know,581.5524291992188,Primary,Yes,Yes,Formal Prudential,formal only,Yes,0,26,26-30,casual_work,no,yes,1
Trans Nzoia,Rural,32,Female,26-35,Completed technical training after secondary school,0,1,0,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Okay/Fair/Average,I can manage with ease,8346.16796875,Tertiary,Yes,Yes,Formal Prudential,formal only,Yes,0,32,31-35,regular_employment,yes,yes,3
Samburu,Rural,18,Female,18-25,"""Some secondary""",0,0,0,0,0,0,0,0,1,0,0,0,0,I donâ€™t own or use a mobile phone/Sina wala situmii simu ya mkononi,,Okay/Fair/Average,I can manage,495.08416748046875,Secondary,No,No,Excluded,excluded,No,1,18,18-25,family_remittance,no,no,1
Nandi,Rural,27,Male,26-35,"""Primary completed""",1,0,1,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Okay/Fair/Average,I can manage,1845.857666015625,Primary,Yes,Yes,Formal Prudential,formal only,Yes,0,27,26-30,casual_work,yes,yes,3
Kisumu,Rural,29,Female,26-35,"""Some primary """,0,0,0,0,0,0,0,0,0,0,1,0,0,I donâ€™t own or use a mobile phone/Sina wala situmii simu ya mkononi,,Strong,I have no idea/I dont know,426.9184875488281,Primary,No,No,Excluded,excluded,No,1,29,26-30,other_or_no_income_source,no,no,0
Isiolo,Rural,23,Female,18-25,"""Some secondary""",1,0,0,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Strong,I can manage with difficulties,403.7779235839844,Secondary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,23,18-25,farming,yes,yes,3
Bomet,Rural,18,Female,18-25,"""Primary completed""",0,0,1,0,0,0,0,0,0,0,0,0,0,I donâ€™t own a mobile phone but am able to use someone elseâ€™s phone regularly,1.0,Strong,I can manage with ease,696.7796020507812,Primary,No,No,Excluded,excluded,No,1,18,18-25,casual_work,yes,no,2
Mandera,Rural,35,Female,26-35,"""None """,0,0,0,0,0,0,0,0,0,0,1,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Strong,I have no idea/I dont know,636.5613403320312,,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,35,31-35,other_or_no_income_source,no,yes,1
Bomet,Rural,28,Female,26-35,"""Primary completed""",0,0,1,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Okay/Fair/Average,I can manage,386.2671203613281,Primary,Yes,Yes,Formal Prudential,formal only,Yes,0,28,26-30,casual_work,yes,yes,3
Samburu,Rural,34,Male,26-35,"""None """,1,0,0,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Okay/Fair/Average,I have no idea/I dont know,2250.259033203125,,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,34,31-35,farming,no,yes,1
Homabay,Rural,28,Male,26-35,"""Secondary completed """,0,0,1,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Weak/poor,I can manage with ease,2721.3115234375,Secondary,Yes,Yes,Formal Prudential,formal only,Yes,0,28,26-30,casual_work,yes,yes,3
Kirinyaga,Rural,27,Female,26-35,Completed technical training after secondary school,1,0,0,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Okay/Fair/Average,I can manage with difficulties,557.2340698242188,Tertiary,Yes,Yes,Formal Prudential,formal only,Yes,0,27,26-30,farming,yes,yes,3
Kitui,Rural,27,Female,26-35,"""Primary completed""",0,0,1,0,0,0,0,0,1,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Strong,I can manage with difficulties,1611.16015625,Primary,Yes,Yes,Formal Prudential,formal only,Yes,0,27,26-30,casual_work,no,yes,2
Nyandarua,Rural,22,Male,18-25,"""Primary completed""",1,0,0,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Okay/Fair/Average,I have no idea/I dont know,2657.886962890625,Primary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,22,18-25,farming,yes,yes,2
Machakos,Rural,34,Female,26-35,Some technical training after secondary school,0,1,0,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Okay/Fair/Average,I can manage,1222.791015625,Secondary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,34,31-35,regular_employment,yes,yes,3
Bungoma,Rural,28,Female,26-35,"""Secondary completed """,0,0,0,1,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Okay/Fair/Average,I can manage with ease,763.1598510742188,Secondary,Yes,Yes,Formal Prudential,formal only,Yes,0,28,26-30,self_employment,no,yes,2
Laikipia,Rural,24,Female,18-25,"""Secondary completed """,0,0,1,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Okay/Fair/Average,I can manage,1015.9649047851562,Secondary,Yes,Yes,Formal Prudential,formal only,Yes,0,24,18-25,casual_work,yes,yes,3
Bomet,Rural,34,Female,26-35,"""Primary completed""",1,0,0,0,0,0,0,0,0,0,0,0,0,I donâ€™t own a mobile phone but am able to use someone elseâ€™s phone regularly,0.0,Okay/Fair/Average,I have no idea/I dont know,310.71514892578125,Primary,No,No,Informal,informal only,No,0,34,31-35,farming,no,no,0
Homabay,Rural,35,Female,26-35,"""Primary completed""",1,0,0,0,0,0,0,0,0,0,0,0,0,I donâ€™t own a mobile phone but am able to use someone elseâ€™s phone regularly,0.0,,I have no idea/I dont know,1088.5264892578125,Primary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,35,31-35,farming,no,no,0
Uasin Gishu,Rural,32,Female,26-35,Completed technical training after secondary school,1,0,0,0,0,0,0,0,1,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Okay/Fair/Average,I can manage,539.0933837890625,Tertiary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,32,31-35,farming,yes,yes,3
Tharaka-Nithi,Rural,20,Male,18-25,"""Some primary """,0,0,1,0,0,0,0,0,0,0,0,0,0,I donâ€™t own or use a mobile phone/Sina wala situmii simu ya mkononi,,Weak/poor,I have no idea/I dont know,436.0224304199219,Primary,No,No,Excluded,excluded,No,1,20,18-25,casual_work,no,no,0
Kisii,Rural,29,Female,26-35,"""Some secondary""",1,0,0,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Strong,I can manage with difficulties,1948.5579833984375,Secondary,Yes,Yes,Formal Prudential,formal only,Yes,0,29,26-30,farming,yes,yes,3
Homabay,Rural,20,Male,18-25,Completed technical training after secondary school,0,0,1,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Okay/Fair/Average,I can manage,1930.1798095703125,Tertiary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,20,18-25,casual_work,no,yes,2
Narok,Rural,29,Male,26-35,Completed technical training after secondary school,0,0,1,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Strong,I can manage,11228.97265625,Tertiary,Yes,Yes,Formal Prudential,formal only,Yes,0,29,26-30,casual_work,yes,yes,3
Kakamega,Rural,28,Male,26-35,Completed technical training after secondary school,0,0,0,1,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Okay/Fair/Average,I can manage,3443.847900390625,Tertiary,Yes,Yes,Formal Prudential,formal only,Yes,0,28,26-30,self_employment,yes,yes,3
Vihiga,Rural,27,Female,26-35,"""Secondary completed """,0,0,0,1,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Strong,I can manage with ease,1309.8795166015625,Secondary,Yes,Yes,Formal Prudential,formal only,Yes,0,27,26-30,self_employment,yes,yes,3
Meru,Rural,26,Male,26-35,"""Primary completed""",1,0,1,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Okay/Fair/Average,I can manage,4068.40576171875,Primary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,26,26-30,casual_work,no,yes,2
Tana River,Rural,25,Female,18-25,"""None """,0,0,0,0,0,0,0,0,1,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Weak/poor,I have no idea/I dont know,156.27642822265625,,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,25,18-25,family_remittance,no,yes,1
Embu,Rural,34,Female,26-35,"""Secondary completed """,0,1,0,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Okay/Fair/Average,I can manage,1181.8614501953125,Secondary,Yes,Yes,Formal Prudential,formal only,Yes,0,34,31-35,regular_employment,no,yes,2
Kitui,Rural,32,Female,26-35,"""Primary completed""",0,0,0,0,0,0,0,0,1,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Strong,I can manage,1946.0037841796875,Primary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,32,31-35,family_remittance,yes,yes,3
Machakos,Rural,29,Female,26-35,"""Secondary completed """,0,0,1,0,0,0,0,0,1,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Strong,I can manage,1847.1300048828125,Secondary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,29,26-30,casual_work,yes,yes,3
Migori,Rural,29,Female,26-35,"""None """,1,0,0,0,0,0,0,0,0,0,0,0,0,I donâ€™t own a mobile phone but am able to use someone elseâ€™s phone regularly,0.0,Weak/poor,I have no idea/I dont know,1331.5589599609375,,No,No,Informal,informal only,No,0,29,26-30,farming,no,no,0
